Date,Open,Close,High,Low,Vol.,Change %
82,"Feb 07, 2023","23,251.7","22,761.8","23,338.8","22,748.2",318.98K,2.15%
83,"Feb 06, 2023","22,761.8","22,936.0","23,130.6","22,633.7",278.58K,-0.76%
84,"Feb 05, 2023","22,936.0","23,326.9","23,423.4","22,766.5",217.26K,-1.66%
85,"Feb 04, 2023","23,323.8","23,431.2","23,571.8","23,269.8",170.27K,-0.46%
86,"Feb 03, 2023","23,431.2","23,429.1","23,694.1","23,233.8",349.36K,0.02%
87,"Feb 02, 2023","23,427.6","23,726.2","24,207.2","23,398.1",382.86K,-1.26%
88,"Feb 01, 2023","23,725.6","23,124.7","23,784.5","22,809.6",333.18K,2.60%
89,"Jan 31, 2023","23,125.1","22,832.2","23,262.9","22,724.9",289.38K,1.28%
90,"Jan 30, 2023","22,832.2","23,746.0","23,794.0","22,560.0",339.62K,-3.88%
91,"Jan 29, 2023","23,753.1","23,023.5","23,952.9","22,973.3",320.86K,3.15%
92,"Jan 28, 2023","23,027.9","23,074.6","23,182.3","22,889.8",156.96K,-0.20%
93,"Jan 27, 2023","23,074.6","23,016.0","23,480.3","22,602.9",310.36K,0.25%
94,"Jan 26, 2023","23,016.0","23,055.2","23,259.5","22,869.0",320.97K,-0.17%
95,"Jan 25, 2023","23,055.1","22,632.5","23,779.0","22,366.3",388.18K,1.87%
96,"Jan 24, 2023","22,632.5","22,916.3","23,156.1","22,517.1",334.17K,-1.23%
97,"Jan 23, 2023","22,915.5","22,709.0","23,161.8","22,527.9",327.85K,0.91%
98,"Jan 22, 2023","22,707.8","22,775.7","23,068.7","22,323.0",280.64K,-0.30%
99,"Jan 21, 2023","22,775.7","22,677.5","23,304.5","22,461.1",382.69K,0.43%
100,"Jan 20, 2023","22,677.2","21,074.9","22,718.5","20,879.3",373.74K,7.57%
101,"Jan 19, 2023","21,081.2","20,670.6","21,169.4","20,669.7",275.76K,1.99%
102,"Jan 18, 2023","20,670.6","21,137.1","21,584.1","20,448.3",388.67K,-2.21%
103,"Jan 17, 2023","21,137.1","21,184.4","21,506.4","20,926.2",310.04K,-0.22%
104,"Jan 16, 2023","21,184.2","20,880.1","21,416.8","20,698.9",337.46K,1.46%
105,"Jan 15, 2023","20,879.8","20,956.0","21,032.2","20,585.7",205.80K,-0.37%
106,"Jan 14, 2023","20,958.2","19,926.9","21,185.6","19,898.6",458.21K,5.17%
107,"Jan 13, 2023","19,927.0","18,850.8","19,981.6","18,723.8",426.67K,5.71%
108,"Jan 12, 2023","18,851.3","17,941.0","19,055.3","17,915.5",522.01K,5.07%
109,"Jan 11, 2023","17,942.3","17,440.5","17,989.8","17,323.9",291.53K,2.89%
110,"Jan 10, 2023","17,439.1","17,180.1","17,491.0","17,151.7",247.14K,1.51%
111,"Jan 09, 2023","17,180.1","17,119.0","17,390.8","17,107.1",301.24K,0.36%
112,"Jan 08, 2023","17,119.0","16,943.6","17,119.0","16,913.8",144.84K,1.04%
113,"Jan 07, 2023","16,943.6","16,950.9","16,979.6","16,909.7",110.48K,-0.04%
114,"Jan 06, 2023","16,950.9","16,829.8","17,012.3","16,707.6",233.47K,0.72%
115,"Jan 05, 2023","16,829.8","16,852.2","16,877.9","16,772.3",178.96K,-0.13%
116,"Jan 04, 2023","16,852.1","16,674.2","16,976.5","16,656.5",247.39K,1.07%
